,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
0,35.02,127.79,10.73,38.7,8.57,0.55,12.02,13.41,125.0,0
1,17.14,37.07333333333333,7.37,27.34,32.02,1.72,2.61,8.84,54.0,0
2,34.7,80.13,15.59,27.58,39.46,0.81,9.99,21.39,90.0,0
3,43.55,55.33,24.58,34.87,34.99,2.69,8.23,91.54,121.0,0
4,129.09,275.18,92.87,58.31,55.54,0.54,17.55,31.87,314.0,0
5,96.46,181.49,9.56,9.96,6.33,0.0,95.05,16.01,233.0,0
6,109.44,124.14999999999999,23.24,76.78,31.48,1.9,11.96,20.27,245.0,0
7,36.78,138.91,10.14,37.23,10.9,0.72,13.25,17.24,104.0,0
8,44.39,77.44666666666667,2.88,16.54,31.313333333333333,2.23,35.52,26.23,113.0,0
9,41.42,36.223333333333336,30.0,18.21,30.98,0.0,66.44000000000001,26.786666666666665,77.0,0
10,249.54,72.17666666666666,69.54,96.31,21.336666666666662,2.36,56.84,43.32,388.0,0
11,170.16,238.33,36.04,48.4,34.14,14.17,9.28,37.39,354.0,0
12,59.42,90.44,1.63,12.73,14.39,0.92,20.55,63.08,131.0,0
13,40.28,82.77,4.01,20.12,13.99,1.05,6.03,42.02,85.0,0
14,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,0
15,23.49,52.0,5.71,12.89,29.99,0.81,5.46,57.91,72.0,0
16,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,0
17,10.93,103.01333333333332,2.64,9.78,19.64,1.7,1.92,10.45,52.0,0
18,10.41,19.95,0.97,4.91,2.65,0.25,2.15,4.13,109.66666666666667,0
19,40.46,131.87,31.85,26.2,15.21,0.73,9.2,16.56,117.0,0
20,7.97,42.51,39.23,9.58,8.22,1.28,18.27,1.36,85.66666666666667,0
21,52.91,106.4,13.49,15.17,58.31,0.01,4.45,23.6,126.0,0
22,40.78,69.53,4.57,18.13,7.78,0.51,15.35,46.24,75.0,0
23,60.09,199.34,40.91,30.12,13.546666666666667,40.91,40.22,26.52,545.0,0
24,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,0
25,14.91,29.44,5.89,28.42,10.72,0.51,1.03,11.05,46.0,0
26,23.88,71.03,1.61,9.83,20.97,0.37,12.78,64.94,96.0,0
27,25.9,158.96,40.29,165.62,19.513333333333332,40.29,56.95,37.07,680.0,0
28,151.69,249.81,69.24,59.89,6.829999999999999,1.81,35.59,47.8,292.0,0
29,27.6,39.29,15.53,22.4,28.94,0.0,15.52,19.14,65.0,0
